,actionNumber,teamId,scoreHome,scoreAway,description,actionType,subType,time,location,newPossession,possession,possessionCount
0,2,0,0,0,Start of 1st Period (7:45 PM EST),period,start,0.0,,False,,0
1,4,1610612755,0,0,Jump Ball Drummond vs. Lopez: Tip to Maxey,Jump Ball,,0.0,h,True,PHI,1
2,7,1610612755,0,0,MISS Oubre Jr. 4' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,270.0,h,False,PHI,1
3,8,1610612749,0,0,Lopez REBOUND (Off:0 Def:1),Rebound,Unknown,300.0,v,True,MIL,2
4,9,1610612755,0,0,Oubre Jr. S.FOUL (P1.T1) (S.Foster),Foul,Shooting,340.0,h,False,MIL,2
5,11,1610612749,0,1,Antetokounmpo Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,340.0,v,False,MIL,2
6,12,1610612749,0,2,Antetokounmpo Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,340.0,v,False,MIL,2
7,13,1610612755,3,2,Maxey 26' 3PT Step Back Jump Shot (3 PTS),Made Shot,Step Back Jump shot,560.0,h,True,PHI,3
8,14,1610612749,3,2,MISS Lillard 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,740.0,v,True,MIL,4
9,15,1610612755,3,2,Drummond REBOUND (Off:0 Def:1),Rebound,Unknown,760.0,h,True,PHI,5
10,16,1610612755,3,2,MISS Maxey 26' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,810.0,h,False,PHI,5
11,17,1610612749,3,2,Lillard REBOUND (Off:0 Def:1),Rebound,Unknown,840.0,v,True,MIL,6
12,18,1610612755,3,2,K. Martin P.FOUL (P1.T2) (M.Kogut),Foul,Personal,880.0,h,False,MIL,6
13,20,1610612749,3,2,MISS Lopez 7' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,980.0,v,False,MIL,6
14,22,1610612755,3,2,Maxey REBOUND (Off:0 Def:1),Rebound,Unknown,1000.0,h,True,PHI,7
15,23,1610612755,3,2,MISS Maxey 4' Running Layup,Missed Shot,Running Layup Shot,1060.0,h,False,PHI,7
16,24,1610612755,3,2,Drummond REBOUND (Off:1 Def:1),Rebound,Unknown,1080.0,h,False,PHI,7
17,25,1610612755,3,2,MISS Gordon 26' 3PT Jump Shot,Missed Shot,Jump Shot,1130.0,h,False,PHI,7
18,26,1610612749,3,2,Antetokounmpo REBOUND (Off:0 Def:1),Rebound,Unknown,1160.0,v,True,MIL,8
19,27,1610612749,3,2,MISS Trent Jr. 27' 3PT Jump Shot,Missed Shot,Jump Shot,1320.0,v,False,MIL,8
20,28,1610612755,3,2,Drummond REBOUND (Off:1 Def:2),Rebound,Unknown,1360.0,h,True,PHI,9
21,29,1610612749,3,2,Prince Violation:Kicked Ball (S.Foster),Violation,Kicked Ball,1420.0,v,False,PHI,9
22,30,1610612755,3,2,MISS Maxey 1' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,1570.0,h,False,PHI,9
23,31,1610612749,3,2,Antetokounmpo REBOUND (Off:0 Def:2),Rebound,Unknown,1590.0,v,True,MIL,10
24,32,1610612749,3,4,Antetokounmpo 1' Cutting Dunk Shot (4 PTS) (Prince 1 AST),Made Shot,Cutting Dunk Shot,1670.0,v,False,MIL,10
25,34,1610612749,3,4,Trent Jr. P.FOUL (P1.T1) (B.Forte),Foul,Personal,1740.0,v,True,PHI,11
26,36,1610612755,3,4,MISS Oubre Jr. 3' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1880.0,h,False,PHI,11
27,36,1610612749,3,4,Lopez BLOCK (1 BLK),,,1880.0,v,False,PHI,11
28,38,1610612749,3,4,Antetokounmpo REBOUND (Off:0 Def:3),Rebound,Unknown,1910.0,v,True,MIL,12
29,39,1610612749,3,4,Antetokounmpo Out of Bounds Lost Ball Turnover (P1.T1),Turnover,Out of Bounds Lost Ball Turnover,1930.0,v,False,MIL,12
30,40,1610612749,3,4,Antetokounmpo S.FOUL (P1.T2) (M.Kogut),Foul,Shooting,2030.0,v,True,PHI,13
31,42,1610612755,3,4,MISS K. Martin Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,2030.0,h,False,PHI,13
